i, random1, random2, random3
0, 0.11491899269316441, 0.5603955192531044, 0.2670497825123872
1, 0.41455165885152045, 0.7929504895617956, 0.42864426382416665
2, 0.681876996527677, 0.9594163493665706, 0.06054283667091476
3, 0.33586967463375317, 0.6509980643076724, 0.9973216273989653
4, 0.6860936473528746, 0.13911378047120437, 0.6356526048707861
5, 0.26651177017867, 0.4952720677833713, 0.7342643999982188
6, 0.49027930007832754, 0.06385449483491845, 0.9666325321310684
7, 0.6385978758443547, 0.15309898340038675, 0.7958779105184812
8, 0.8880720330740364, 0.7233026072775889, 0.9457384505074858
9, 0.8006416266883564, 0.07562904731298625, 0.5403141764601868
10, 0.45595532745592127, 0.1260090167575002, 0.5913583285721208
11, 0.7860402076471013, 0.33299499625413864, 0.4130325780265134
12, 0.6915035124639703, 0.41131438180348734, 0.08455724392166653
13, 0.9267445649958327, 0.6687579909938669, 0.14688816613011524
14, 0.749531118243683, 0.6008403482781636, 0.004155968541767141
15, 0.5302336657247537, 0.7765091775436127, 0.16543622491165366
16, 0.49995681021971383, 0.8803922982167945, 0.6834770322596031
17, 0.6393043007114095, 0.7513696919836461, 0.44142052748586147
18, 0.7220005221143103, 0.3603878979458295, 0.0836952679038192
19, 0.5282602918886246, 0.6038071582922806, 0.3756757186009887
20, 0.6945567525094839, 0.1908192224715204, 0.49630201083039105
21, 0.05098896318891799, 0.5691201195827319, 0.914803274791166
22, 0.9029075848335074, 0.040377903303794094, 0.6559894869345959
23, 0.5524767998981152, 0.17150229120131633, 0.5801108748801121
24, 0.11615662699101392, 0.15367780115112462, 0.8148275681015702
25, 0.3881824327105119, 0.43896638508241625, 0.9296437096142333
26, 0.5958391435012286, 0.44861518573205195, 0.5135756846500272
27, 0.16539739632429684, 0.752620590811903, 0.7395800791975102
28, 0.3957876804984952, 0.37984679723894543, 0.7191048429308364
29, 0.5012514609925427, 0.01941523817473889, 0.6581742911366221
30, 0.31755865445148546, 0.05082934523400895, 0.2740211923852024
31, 0.5118610648949248, 0.5998686008178192, 0.43525233417845455
32, 0.666142598469548, 0.2242100661536276, 0.6665266391389929
33, 0.28787114664342794, 0.8091720376766546, 0.902229640843117
34, 0.6950065634376594, 0.8835097564624574, 0.15127603044575422
35, 0.7720517476778963, 0.6230794946028994, 0.20346953628388686
36, 0.9391176352904981, 0.9855156852837359, 0.10088558731343156
37, 0.24653511666459516, 0.5298457512055831, 0.283651139497759
38, 0.8235066024935681, 0.6260571189825618, 0.569905953641107
39, 0.9304983385050866, 0.3606088872134603, 0.324835123787505
40, 0.42461885648870534, 0.8712743167749516, 0.9304991663285114
41, 0.22529286908398205, 0.7218538957101202, 0.789105283741533
42, 0.5301881817331662, 0.39430497502316786, 0.343080907109777
43, 0.6619023031996638, 0.661207790496909, 0.47670165172064016
44, 0.3228006537459923, 0.23667474487826246, 0.36377785854731903
45, 0.8408474538074691, 0.7415319868004139, 0.0623782292109436
46, 0.19333860802782776, 0.4710330565659674, 0.6883049018128158
47, 0.47966417712744547, 0.4946800618004922, 0.1894841370251077
48, 0.8810770128274227, 0.07701125978655166, 0.28634202761303196
49, 0.6192490302175587, 0.6522043943241569, 0.8071157171934525
50, 0.318372811751619, 0.9979922965853417, 0.24876625726263812
51, 0.6850854470381738, 0.42208377874762104, 0.3871173352510975
52, 0.7734864483397201, 0.8287859161176282, 0.18893712687426467
